타임스탬프,이메일 주소,1. 본인의 성명을 입력해주십시오.,2. 본인의 학번을 입력해 주십시오,3. 본인의 학년 또는 지위를 선택해 주십시오.,4. 1지망~3지망 지정좌석을 각각 선택해 주십시오. [1지망],4. 1지망~3지망 지정좌석을 각각 선택해 주십시오. [2지망],4. 1지망~3지망 지정좌석을 각각 선택해 주십시오. [3지망]
1/11/2000 12:00,xokc1msy4l@snu.ac.kr,남명수,2000-11133,1학년,법오 큰방(평상),국산(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,0llj8yrddp@snu.ac.kr,위하수,2000-11181,1학년,15동 404호(칸막이),법오 큰방(칸막이),법오 큰방(평상)
1/11/2000 12:00,cuctsuflse@snu.ac.kr,연랑이,2000-11235,1학년,법오 큰방(칸막이),15동 404호(칸막이),법오 큰방(평상)
1/11/2000 12:00,5len606n9r@snu.ac.kr,신준성,2000-11206,1학년,15동 401호(평상),국산(칸막이),법오 작은방(평상)
1/11/2000 12:00,5cri8bixoi@snu.ac.kr,석하다,2000-11338,2학년,법오 작은방(평상),15동 404호(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,6eeamyfp9s@snu.ac.kr,권수현,2000-11503,3학년,국산(칸막이),법오 큰방(칸막이),15동 401호(평상)
1/11/2000 12:00,k585x8a5fb@snu.ac.kr,민시결,2000-11357,2학년,15동 403호(칸막이),법오 작은방(평상),15동 404호(칸막이)
1/11/2000 12:00,wgwaj1g1r1@snu.ac.kr,한나윤,2000-11326,2학년,법오 큰방(칸막이),15동 404호(칸막이),15동 401호(칸막이)
1/11/2000 12:00,ijl2z0ljch@snu.ac.kr,설찬별,2000-11292,2학년,15동 404호(칸막이),법오 작은방(평상),법오 큰방(칸막이)
1/11/2000 12:00,fn1r4kz36u@snu.ac.kr,진수채,2000-11242,1학년,국산(칸막이),15동 401호(평상),법오 큰방(칸막이)
1/11/2000 12:00,nbti22nv01@snu.ac.kr,설다빈,2000-11371,2학년,15동 404호(칸막이),법오 큰방(평상),법오 큰방(칸막이)
1/11/2000 12:00,lmy62xrw6t@snu.ac.kr,최겨샘,2000-11437,3학년,법오 작은방(평상),15동 404호(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,dro8bnp84d@snu.ac.kr,전수준,2000-11175,1학년,15동 404호(칸막이),법오 작은방(평상),국산(칸막이)
1/11/2000 12:00,dsc4e5hrdu@snu.ac.kr,제도시,2000-11404,2학년,15동 404호(칸막이),법오 작은방(평상),법오 큰방(칸막이)
1/11/2000 12:00,rnujjq9k6r@snu.ac.kr,권수빛,2000-11210,1학년,법오 큰방(칸막이),국산(칸막이),15동 403호(평상)
1/11/2000 12:00,vob5apo4lj@snu.ac.kr,길빈하,2000-11572,3학년,법오 큰방(칸막이),법오 큰방(평상),법오 작은방(평상)
1/11/2000 12:00,feyuhz1gv0@snu.ac.kr,배은아,2000-11145,1학년,법오 큰방(칸막이),15동 404호(칸막이),국산(칸막이)
1/11/2000 12:00,w2maietdn1@snu.ac.kr,도시율,2000-11476,3학년,15동 401호(칸막이),법오 큰방(칸막이),15동 404호(칸막이)
1/11/2000 12:00,x1gm32wp7i@snu.ac.kr,채하지,2000-11415,2학년,15동 404호(칸막이),법오 큰방(칸막이),국산(칸막이)
1/11/2000 12:00,vnvqjt7ye5@snu.ac.kr,홍지예,2000-11117,1학년,15동 404호(칸막이),15동 401호(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,e3lvo0ipfg@snu.ac.kr,오숙윤,2000-11525,3학년,국산(칸막이),법오 작은방(평상),법오 큰방(칸막이)
1/11/2000 12:00,dz3cc5rqns@snu.ac.kr,손이태,2000-11565,3학년,15동 404호(칸막이),법오 작은방(평상),법오 큰방(칸막이)
1/11/2000 12:00,nnuvy8n1ut@snu.ac.kr,장숙윤,2000-11209,1학년,법오 작은방(평상),15동 404호(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,3dxb3n27m5@snu.ac.kr,마태유,2000-11411,2학년,법오 작은방(평상),국산(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,5apyx4l4oe@snu.ac.kr,하지아,2000-11583,졸업생,15동 401호(평상),15동 401호(칸막이),15동 403호(칸막이)
1/11/2000 12:00,8adf7pchcb@snu.ac.kr,조기윤,2000-11375,2학년,법오 작은방(평상),국산(칸막이),15동 403호(칸막이)
1/11/2000 12:00,psvy74zq50@snu.ac.kr,손하하,2000-11553,3학년,법오 작은방(평상),15동 401호(평상),국산(칸막이)
1/11/2000 12:00,frhocn9j2q@snu.ac.kr,이원숙,2000-11124,1학년,법오 작은방(평상),국산(칸막이),15동 404호(칸막이)
1/11/2000 12:00,tuw6taq6ul@snu.ac.kr,임환시,2000-11456,3학년,법오 작은방(평상),국산(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,doz6wyqmlh@snu.ac.kr,신소호,2000-11444,3학년,15동 404호(칸막이),15동 403호(평상),법오 큰방(평상)
1/11/2000 12:00,1xxlp8ii7e@snu.ac.kr,석주시,2000-11284,2학년,15동 404호(칸막이),법오 큰방(평상),15동 401호(평상)
1/11/2000 12:00,tn7s55j2o7@snu.ac.kr,여옥태,2000-11162,1학년,15동 401호(평상),15동 404호(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,4fieecy2c1@snu.ac.kr,황광찬,2000-11504,3학년,15동 404호(칸막이),법오 큰방(평상),법오 큰방(칸막이)
1/11/2000 12:00,4poru09bos@snu.ac.kr,이승우,2000-11551,3학년,15동 404호(칸막이),국산(칸막이),15동 401호(칸막이)
1/11/2000 12:00,xaypntrfzw@snu.ac.kr,조찬태,2000-11330,2학년,법오 큰방(칸막이),15동 404호(칸막이),15동 403호(평상)
1/11/2000 12:00,89ltajw253@snu.ac.kr,변윤수,2000-11348,2학년,국산(칸막이),15동 404호(칸막이),법오 작은방(평상)
1/11/2000 12:00,96zpxvpbl9@snu.ac.kr,오지지,2000-11307,2학년,법오 작은방(평상),15동 404호(칸막이),국산(칸막이)
1/11/2000 12:00,726yg3dxvl@snu.ac.kr,설율온,2000-11343,2학년,국산(칸막이),법오 큰방(칸막이),15동 404호(칸막이)
1/11/2000 12:00,f0t0pvn9er@snu.ac.kr,위결일,2000-11116,1학년,15동 404호(칸막이),국산(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,pl1qweehwj@snu.ac.kr,류울호,2000-11430,3학년,15동 401호(평상),15동 404호(칸막이),법오 작은방(평상)
1/11/2000 12:00,tixc7urvqt@snu.ac.kr,설나안,2000-11448,3학년,15동 404호(칸막이),법오 큰방(칸막이),국산(칸막이)
1/11/2000 12:00,w9zyn6sjch@snu.ac.kr,주이온,2000-11417,2학년,15동 404호(칸막이),법오 큰방(칸막이),15동 401호(평상)
1/11/2000 12:00,2g05kbkv7m@snu.ac.kr,문영연,2000-11230,1학년,법오 작은방(평상),15동 404호(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,dc9x5jz6kf@snu.ac.kr,신시환,2000-11321,2학년,15동 404호(칸막이),국산(칸막이),15동 401호(평상)
1/11/2000 12:00,0opf060o4v@snu.ac.kr,오철영,2000-11496,3학년,법오 큰방(칸막이),15동 401호(평상),국산(칸막이)
1/11/2000 12:00,fk7y6qxdsg@snu.ac.kr,유유유,2000-11427,3학년,15동 404호(칸막이),국산(칸막이),법오 작은방(평상)
1/11/2000 12:00,w9zjxlh8l6@snu.ac.kr,진지안,2000-11578,졸업생,법오 큰방(칸막이),국산(칸막이),15동 404호(칸막이)
1/11/2000 12:00,xgh30153sf@snu.ac.kr,우수채,2000-11316,2학년,법오 큰방(칸막이),15동 404호(칸막이),법오 큰방(평상)
1/11/2000 12:00,xyfc4kl8cg@snu.ac.kr,서가유,2000-11306,2학년,법오 작은방(평상),15동 404호(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,c9ros7yt2m@snu.ac.kr,전예찬,2000-11261,2학년,국산(칸막이),15동 401호(평상),15동 403호(칸막이)
1/11/2000 12:00,kxwd8il3fb@snu.ac.kr,고이빈,2000-11137,1학년,국산(칸막이),15동 401호(칸막이),15동 404호(칸막이)
1/11/2000 12:00,jotg6jna9z@snu.ac.kr,한한재,2000-11397,2학년,법오 작은방(평상),국산(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,2ooq42nbfa@snu.ac.kr,편선온,2000-11559,3학년,15동 404호(칸막이),국산(칸막이),법오 큰방(평상)
1/11/2000 12:00,700ucrgb93@snu.ac.kr,고영윤,2000-11457,3학년,15동 404호(칸막이),법오 큰방(칸막이),법오 큰방(평상)
1/11/2000 12:00,9rftmttqlg@snu.ac.kr,유주하,2000-11163,1학년,15동 404호(칸막이),법오 작은방(평상),법오 큰방(칸막이)
1/11/2000 12:00,akt7zqht2x@snu.ac.kr,유도하,2000-11561,3학년,15동 404호(칸막이),국산(칸막이),15동 401호(평상)
1/11/2000 12:00,8yit2kodwh@snu.ac.kr,박종안,2000-11575,졸업생,국산(칸막이),법오 큰방(칸막이),15동 404호(칸막이)
1/11/2000 12:00,5kvqywj85g@snu.ac.kr,강빈수,2000-11547,3학년,법오 큰방(칸막이),15동 404호(칸막이),15동 401호(평상)
1/11/2000 12:00,7j2dg1wjui@snu.ac.kr,유영우,2000-11423,3학년,법오 큰방(칸막이),15동 404호(칸막이),법오 작은방(평상)
1/11/2000 12:00,tlpq2wgxo0@snu.ac.kr,노바겨,2000-11265,2학년,국산(칸막이),법오 작은방(평상),법오 큰방(칸막이)
1/11/2000 12:00,i4q2y9v86w@snu.ac.kr,곽성수,2000-11139,1학년,15동 404호(칸막이),법오 큰방(칸막이),국산(칸막이)
1/11/2000 12:00,ywp0rxxf36@snu.ac.kr,천바다,2000-11337,2학년,15동 404호(칸막이),법오 골방(칸막이),국산(칸막이)
1/11/2000 12:00,chqi014o46@snu.ac.kr,설예은,2000-11521,3학년,15동 404호(칸막이),국산(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,2k20tvdji1@snu.ac.kr,안훈성,2000-11542,3학년,법오 작은방(평상),법오 골방(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,j883dhx8bm@snu.ac.kr,공혁연,2000-11176,1학년,국산(칸막이),15동 404호(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,my89sfqeri@snu.ac.kr,우도하,2000-11511,3학년,국산(칸막이),법오 큰방(평상),15동 404호(칸막이)
1/11/2000 12:00,13jcat9mx2@snu.ac.kr,천미달,2000-11144,1학년,15동 404호(칸막이),15동 401호(칸막이),국산(칸막이)
1/11/2000 12:00,rf1hx6zdcu@snu.ac.kr,석울윤,2000-11466,3학년,법오 큰방(칸막이),15동 403호(칸막이),국산(칸막이)
1/11/2000 12:00,9d31k9qm3p@snu.ac.kr,길아철,2000-11271,2학년,국산(칸막이),15동 404호(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,gl3wxdrlcm@snu.ac.kr,석나준,2000-11304,2학년,법오 큰방(칸막이),15동 404호(칸막이),국산(칸막이)
1/11/2000 12:00,ptk93tyt7d@snu.ac.kr,현소슬,2000-11128,1학년,15동 404호(칸막이),법오 큰방(칸막이),국산(칸막이)
1/11/2000 12:00,7ko64t026r@snu.ac.kr,변가서,2000-11142,1학년,법오 큰방(칸막이),15동 404호(칸막이),법오 작은방(평상)
1/11/2000 12:00,v2isqp49kw@snu.ac.kr,황수수,2000-11154,1학년,15동 404호(칸막이),15동 401호(평상),국산(칸막이)
1/11/2000 12:00,of8krd5eqy@snu.ac.kr,곽안예,2000-11174,1학년,15동 404호(칸막이),국산(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,uyzpd2tsxt@snu.ac.kr,편태우,2000-11407,2학년,15동 404호(칸막이),국산(칸막이),15동 401호(칸막이)
1/11/2000 12:00,erxdouadvw@snu.ac.kr,도민도,2000-11339,2학년,법오 큰방(칸막이),15동 404호(칸막이),법오 작은방(평상)
1/11/2000 12:00,6mbypjdfaw@snu.ac.kr,제윤혜,2000-11570,3학년,15동 404호(칸막이),법오 큰방(칸막이),15동 401호(칸막이)
1/11/2000 12:00,orxo1bdje1@snu.ac.kr,신기서,2000-11159,1학년,15동 404호(칸막이),15동 403호(칸막이),법오 골방(칸막이)
1/11/2000 12:00,nrm6dfhg6w@snu.ac.kr,송바소,2000-11502,3학년,15동 404호(칸막이),법오 작은방(평상),법오 큰방(칸막이)
1/11/2000 12:00,5ge094d6ru@snu.ac.kr,추빈예,2000-11335,2학년,법오 작은방(평상),15동 404호(칸막이),15동 403호(칸막이)
1/11/2000 12:00,qgvzhqjy62@snu.ac.kr,석은시,2000-11428,3학년,15동 404호(칸막이),법오 큰방(칸막이),법오 큰방(평상)
1/11/2000 12:00,xx6mdk5n9s@snu.ac.kr,이다윤,2000-11418,2학년,15동 404호(칸막이),국산(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,de1zublekv@snu.ac.kr,진희빈,2000-11508,3학년,법오 큰방(칸막이),국산(칸막이),15동 401호(칸막이)
1/11/2000 12:00,1q3vli7kq1@snu.ac.kr,우아늘,2000-11148,1학년,15동 403호(칸막이),15동 404호(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,lod9r7anqj@snu.ac.kr,탁린루,2000-11232,1학년,법오 큰방(칸막이),15동 404호(칸막이),15동 401호(칸막이)
1/11/2000 12:00,zv9nou3dym@snu.ac.kr,편종은,2000-11517,3학년,15동 401호(평상),15동 404호(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,x9djoyohaz@snu.ac.kr,정이자,2000-11377,2학년,국산(칸막이),15동 401호(평상),15동 404호(칸막이)
1/11/2000 12:00,vgox22iniw@snu.ac.kr,유동바,2000-11281,2학년,법오 큰방(평상),국산(칸막이),법오 골방(칸막이)
1/11/2000 12:00,r0jy32hog5@snu.ac.kr,제연재,2000-11531,3학년,국산(칸막이),15동 404호(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,uznofy6452@snu.ac.kr,위수우,2000-11138,1학년,법오 큰방(칸막이),15동 404호(칸막이),15동 403호(칸막이)
1/11/2000 12:00,ebe5407k5w@snu.ac.kr,설결남,2000-11537,3학년,15동 404호(칸막이),법오 큰방(칸막이),법오 작은방(평상)
1/11/2000 12:00,zzf8s2zge2@snu.ac.kr,문주윤,2000-11285,2학년,법오 큰방(칸막이),국산(칸막이),15동 404호(칸막이)
1/11/2000 12:00,ycelos6zle@snu.ac.kr,주준이,2000-11233,1학년,국산(칸막이),법오 큰방(칸막이),15동 404호(칸막이)
1/11/2000 12:00,qb6gs8g8ta@snu.ac.kr,현루마,2000-11353,2학년,법오 큰방(평상),15동 404호(칸막이),15동 403호(평상)
1/11/2000 12:00,z15bcw790p@snu.ac.kr,변연은,2000-11166,1학년,법오 큰방(칸막이),15동 404호(칸막이),국산(칸막이)
1/11/2000 12:00,bo119xp9n5@snu.ac.kr,윤다하,2000-11237,1학년,국산(칸막이),법오 큰방(칸막이),15동 404호(칸막이)
1/11/2000 12:00,j70e3p15ah@snu.ac.kr,위하래,2000-11239,1학년,법오 큰방(칸막이),법오 골방(칸막이),15동 404호(칸막이)
1/11/2000 12:00,c3xq8va8x8@snu.ac.kr,채래현,2000-11541,3학년,법오 작은방(평상),15동 404호(칸막이),15동 401호(칸막이)
1/11/2000 12:00,n4ptgq9cva@snu.ac.kr,강연별,2000-11282,2학년,법오 큰방(칸막이),국산(칸막이),15동 404호(칸막이)
1/11/2000 12:00,guzroc5xt6@snu.ac.kr,김지한,2000-11579,졸업생,15동 404호(칸막이),법오 큰방(칸막이),법오 큰방(평상)
1/11/2000 12:00,jutpmc3skx@snu.ac.kr,서아지,2000-11519,3학년,법오 큰방(칸막이),15동 403호(평상),15동 401호(평상)
1/11/2000 12:00,xhw0ic1l7d@snu.ac.kr,배나연,2000-11414,2학년,15동 404호(칸막이),법오 큰방(칸막이),법오 작은방(평상)
1/11/2000 12:00,02dgtfgq5c@snu.ac.kr,서혁진,2000-11123,1학년,15동 404호(칸막이),국산(칸막이),법오 큰방(평상)
1/11/2000 12:00,5o44iusexu@snu.ac.kr,강윤이,2000-11524,3학년,15동 404호(칸막이),법오 작은방(평상),법오 큰방(칸막이)
1/11/2000 12:00,brh7lay64y@snu.ac.kr,제린기,2000-11332,2학년,법오 큰방(칸막이),법오 큰방(평상),15동 404호(칸막이)
1/11/2000 12:00,kyvk7n3bfh@snu.ac.kr,공라태,2000-11356,2학년,15동 404호(칸막이),15동 403호(평상),국산(칸막이)
1/11/2000 12:00,k8ut0cvs4f@snu.ac.kr,마래꽃,2000-11125,1학년,국산(칸막이),법오 큰방(평상),법오 큰방(칸막이)
1/11/2000 12:00,gn1w1ht7pz@snu.ac.kr,곽은호,2000-11160,1학년,법오 큰방(칸막이),국산(칸막이),15동 404호(칸막이)
1/11/2000 12:00,n439enga01@snu.ac.kr,변윤준,2000-11580,졸업생,15동 404호(칸막이),15동 401호(평상),법오 큰방(칸막이)
1/11/2000 12:00,ivrocvitwu@snu.ac.kr,김아다,2000-11431,3학년,15동 404호(칸막이),법오 큰방(평상),법오 큰방(칸막이)
1/11/2000 12:00,79t6vxdp5g@snu.ac.kr,탁새빈,2000-11143,1학년,법오 큰방(칸막이),15동 401호(평상),15동 404호(칸막이)
1/11/2000 12:00,tgq01tee13@snu.ac.kr,정용명,2000-11270,2학년,법오 큰방(칸막이),15동 404호(칸막이),법오 골방(칸막이)
1/11/2000 12:00,9ftaxp0wfo@snu.ac.kr,변담도,2000-11279,2학년,15동 404호(칸막이),국산(칸막이),법오 큰방(평상)
1/11/2000 12:00,zduxlez896@snu.ac.kr,석별지,2000-11195,1학년,법오 큰방(칸막이),15동 404호(칸막이),15동 401호(평상)
